"OVRL_HEALTH" "SELFDESC_WEIGHT" "MIN_MOD_PA"
"729" "Good" "About the right weight" 180
"730" "Very Good" "Slightly underweight" 60
"731" "Very Good" "Slightly overweight" 70
"732" "Good" "About the right weight" 160
"733" "Very Good" "About the right weight" 200
"734" "Good" "About the right weight" 700
"735" "Good" "About the right weight" 30
"736" "Good" "Very overweight" 90
"737" "Good" "About the right weight" 160
"738" "Very Good" "Slightly overweight" 180
"739" "Good" "Slightly underweight" 25
"740" "Fair" "About the right weight" 360
"741" "Good" "About the right weight" 180
"742" "Good" "Slightly overweight" 80
"743" "Good" "Slightly overweight" 90
"744" "Good" "About the right weight" 80
"745" "Poor" "About the right weight" 900
"746" "Good" "About the right weight" 120
"747" "Very Good" "About the right weight" 60
"748" "Good" "Slightly overweight" 15
"749" "Very Good" "Slightly overweight" 400
"750" "Excellent" "Slightly overweight" 30
"751" "Fair" "Slightly underweight" 30
"752" "Good" "Slightly overweight" 120
"753" "Excellent" "About the right weight" 120
"754" "Good" "About the right weight" 240
"755" "Good" "Slightly overweight" 300
"756" "Good" "About the right weight" 315
"757" "Good" "Slightly overweight" 60
"758" "Good" "Slightly overweight" 1200
"759" "Good" "About the right weight" 180
"760" "Good" NA NA
"761" "Good" "Very overweight" 60
"762" "Good" "About the right weight" 480
"763" "Good" "About the right weight" 90
"764" "Excellent" "About the right weight" 240
"765" "Fair" "Slightly overweight" 30
"766" "Good" "About the right weight" 240
"767" "Fair" "Very overweight" 80
"768" "Very Good" "Slightly overweight" 60
"769" "Good" "About the right weight" 240
"770" "Good" "Slightly overweight" 0
"771" "Fair" "Very overweight" 170
"772" "Good" "About the right weight" 60
"773" "Good" "About the right weight" 30
"774" "Very Good" "About the right weight" 300
"775" "Excellent" "Slightly overweight" 30
"776" "Very Good" "About the right weight" 180
"777" "Excellent" "Very underweight" 60
"778" "Very Good" "Slightly overweight" 250
"779" "Good" "Slightly underweight" 840
"780" "Fair" "About the right weight" 120
"781" "Good" "About the right weight" 15
"782" "Very Good" "About the right weight" 60
"783" "Good" "Slightly overweight" 30
"784" "Good" "Slightly overweight" 60
"785" "Fair" "About the right weight" 180
"786" "Good" "Slightly overweight" 600
"787" "Good" "About the right weight" 360
"788" "Fair" "Slightly overweight" 60
"789" "Good" "About the right weight" 60
"790" NA "About the right weight" 30
"791" "Fair" "About the right weight" 120
"792" "Very Good" "About the right weight" 180
"793" "Good" "Slightly overweight" 330
"794" "Very Good" "About the right weight" 180
"795" "Good" "About the right weight" 70
"796" "Very Good" "Slightly overweight" 200
"797" "Good" "Slightly overweight" 60
"798" "Very Good" "About the right weight" 180
"799" "Good" "Slightly underweight" 120
"800" "Good" "About the right weight" 60
"801" "Very Good" "Very overweight" 300
"802" "Excellent" "Slightly overweight" 240
"803" "Excellent" "Slightly overweight" 0
"804" "Fair" "About the right weight" 0
"805" "Good" "About the right weight" 420
"806" "Very Good" "About the right weight" 30
"807" "Excellent" "About the right weight" 500
"808" "Good" "Very overweight" 60
"809" "Very Good" "Slightly overweight" 0
"810" "Very Good" "About the right weight" 120
"811" "Good" "Slightly overweight" 90
"812" "Good" "Slightly overweight" 120
"813" "Good" "Slightly overweight" 300
"814" "Very Good" "About the right weight" 200
"815" "Good" "Slightly overweight" 0
"816" "Excellent" "About the right weight" 60
"817" "Very Good" "About the right weight" 90
"818" "Very Good" "Slightly overweight" 30
"819" "Very Good" "Slightly overweight" 200
"820" "Very Good" "Very overweight" 300
"821" "Very Good" "Slightly overweight" 120
"822" "Very Good" "About the right weight" 210
"823" "Good" "About the right weight" 120
"824" "Good" "About the right weight" 60
"825" "Very Good" "Slightly overweight" 570
"826" "Very Good" "Slightly overweight" 15
"827" "Very Good" "Slightly underweight" 90
"828" "Good" "Slightly overweight" 120
"829" "Good" "About the right weight" 420
"830" "Good" "Slightly overweight" 1200
"831" NA "About the right weight" 160
"832" "Very Good" "About the right weight" 150
"833" "Good" "Very overweight" 240
"834" "Good" "About the right weight" 150
"835" NA "Slightly overweight" 500
"836" "Excellent" "About the right weight" 120
"837" "Very Good" "About the right weight" 30
"838" "Fair" "Very overweight" 210
"839" "Very Good" "About the right weight" 3000
"840" "Fair" "Slightly overweight" 240
"841" "Good" "Slightly overweight" 200
"842" "Fair" "About the right weight" 120
"843" "Fair" "About the right weight" 50
"844" "Good" "Very overweight" 60
"845" "Good" "Slightly overweight" 45
"846" "Very Good" "About the right weight" 300
"847" "Fair" "Slightly overweight" 240
"848" "Very Good" "About the right weight" 30
"849" "Good" "Slightly overweight" 90
"850" "Very Good" "Very overweight" 210
"851" "Good" "About the right weight" 300
"852" "Very Good" "About the right weight" 60
"853" "Good" "Slightly overweight" 420
"854" "Very Good" "About the right weight" 20
"855" "Excellent" "Very overweight" 30
"856" "Good" "Slightly overweight" 30
"857" "Good" "Slightly underweight" 600
"858" "Good" "Slightly overweight" 65
"859" "Good" "Very overweight" 120
"860" "Fair" "About the right weight" 240
"861" "Good" "Slightly underweight" 90
"862" "Fair" "Very overweight" 480
"863" "Very Good" "About the right weight" 900
"864" "Good" "Slightly overweight" 120
"865" "Excellent" "About the right weight" 60
"866" "Very Good" "About the right weight" 35
"867" "Good" "Slightly overweight" 180
"868" "Good" "Very overweight" 30
"869" "Excellent" "About the right weight" 500
"870" "Very Good" "Very overweight" 50
"871" "Fair" "About the right weight" 350
"872" "Excellent" "Slightly underweight" 300
"873" "Good" "Slightly overweight" 600
"874" "Good" "About the right weight" 30
"875" "Excellent" "About the right weight" 120
"876" "Good" "About the right weight" 90
"877" "Fair" "Very overweight" 420
"878" "Fair" "Slightly underweight" 60
"879" "Good" "Slightly overweight" 180
"880" "Fair" "Slightly overweight" 120
"881" "Fair" "Very overweight" 70
"882" "Very Good" "About the right weight" 420
"883" "Good" "Slightly overweight" 180
"884" "Very Good" "Slightly overweight" 240
"885" "Very Good" "About the right weight" 120
"886" "Very Good" "Slightly underweight" 240
"887" "Very Good" "Slightly underweight" 200
"888" "Good" "Very overweight" 60
"889" "Very Good" "About the right weight" 420
"890" "Very Good" "About the right weight" 80
"891" "Very Good" "About the right weight" 1000
"892" "Very Good" "About the right weight" 60
"893" "Fair" "Slightly overweight" 60
"894" "Very Good" "Slightly overweight" 120
"895" "Very Good" "Very overweight" 240
"896" "Excellent" "About the right weight" 300
"897" "Good" "Slightly overweight" 60
"898" "Good" "Slightly overweight" 250
"899" NA "About the right weight" 90
"900" "Very Good" "About the right weight" 180
"901" "Very Good" "About the right weight" 120
"902" "Good" "Very overweight" 150
"903" "Good" "About the right weight" 360
"904" "Very Good" "About the right weight" 300
"905" "Fair" "About the right weight" 400
"906" "Good" "Slightly underweight" 150
"907" "Good" "Slightly overweight" 240
"908" "Good" "Slightly overweight" 200
"909" "Good" "Slightly overweight" 150
"910" "Good" "About the right weight" 720
"911" "Very Good" "About the right weight" 260
"912" "Good" "Slightly overweight" 45
"913" "Good" "About the right weight" 0
"914" "Excellent" "About the right weight" 230
"915" "Very Good" "About the right weight" 300
"916" "Very Good" "Very underweight" 360
"917" "Excellent" "Very overweight" 150
"918" "Good" "About the right weight" 60
"919" "Very Good" "About the right weight" 150
"920" "Very Good" "About the right weight" 120
"921" "Good" "Very overweight" 120
"922" "Excellent" "Slightly overweight" 30
"923" "Fair" "Slightly overweight" 0
"924" "Good" "About the right weight" 400
"925" "Fair" "Slightly overweight" 0
"926" "Good" "Slightly overweight" 120
"927" "Good" "About the right weight" 120
"928" "Excellent" "About the right weight" 120
"929" "Very Good" "About the right weight" 360
"930" "Good" "About the right weight" 180
"931" NA "About the right weight" 420
"932" "Good" "About the right weight" 240
"933" "Good" "Slightly overweight" 0
"934" "Good" "About the right weight" 360
"935" "Very Good" "About the right weight" 300
"936" "Good" "About the right weight" 150
"937" NA "Slightly overweight" 45
"938" "Good" "About the right weight" 30
"939" "Good" "Slightly overweight" 10
"940" "Fair" "Slightly overweight" 90
"941" "Very Good" "About the right weight" 30
"942" "Fair" "About the right weight" 60
"943" "Very Good" "Slightly overweight" 4000
"944" "Good" "About the right weight" 150
"945" "Fair" "Slightly overweight" 600
"946" "Very Good" "About the right weight" 120
"947" "Very Good" "About the right weight" 120
"948" "Fair" "Slightly overweight" 45
"949" "Very Good" "Slightly overweight" 120
"950" "Good" "Slightly overweight" 120
"951" "Excellent" "Slightly overweight" 420
"952" "Very Good" "About the right weight" 3000
"953" "Good" "Slightly overweight" 30
"954" "Good" "About the right weight" 120
"955" NA "Slightly overweight" 60
"956" "Good" "About the right weight" 60
"957" "Very Good" "About the right weight" 1500
"958" "Good" "Slightly overweight" 600
"959" "Excellent" "Slightly overweight" 270
"960" "Very Good" "Slightly underweight" 120
"961" "Fair" "Slightly overweight" 240
"962" "Excellent" "About the right weight" 270
"963" "Good" "About the right weight" 120
"964" "Very Good" "About the right weight" 20
"965" "Very Good" "About the right weight" 400
"966" "Excellent" "About the right weight" 120
"967" "Good" "Very overweight" 120
"968" "Fair" "Slightly underweight" 120
"969" "Very Good" "Slightly overweight" 60
"970" "Very Good" "About the right weight" 120
"971" "Very Good" "Slightly overweight" 105
"972" "Excellent" "About the right weight" 420
"973" "Very Good" "Slightly overweight" 210
"974" "Very Good" "Very overweight" 720
"975" "Good" "About the right weight" 60
"976" NA "Slightly overweight" 180
"977" "Excellent" "Slightly overweight" 240
"978" "Very Good" "About the right weight" 360
"979" "Very Good" "Slightly overweight" 450
"980" "Good" "About the right weight" 60
"981" "Good" "Slightly overweight" 30
"982" "Good" "About the right weight" 320
"983" "Good" "About the right weight" 75
"984" "Excellent" "Slightly underweight" 180
"985" "Good" "Slightly overweight" 120
"986" "Good" "Slightly overweight" 45
"987" "Fair" "About the right weight" 200
"988" "Very Good" "About the right weight" 180
"989" "Good" "About the right weight" 130
"990" "Good" "Very overweight" 300
"991" "Very Good" "Slightly overweight" 60
"992" "Very Good" "Slightly overweight" 420
"993" "Good" "About the right weight" 2300
"994" "Good" "About the right weight" 840
"995" "Good" "Very overweight" 210
"996" NA "About the right weight" 460
"997" "Fair" "About the right weight" 70
"998" "Very Good" "About the right weight" 360
"999" "Excellent" "About the right weight" 300
"1000" "Good" "Slightly overweight" 0
"1001" "Good" "Very overweight" 40
"1002" "Very Good" "Slightly underweight" 120
"1003" "Good" "Slightly overweight" 90
"1004" "Good" "About the right weight" 500
"1005" "Good" "Slightly overweight" 800
"1006" "Very Good" "About the right weight" 260
"1007" "Very Good" "Very overweight" 60
"1008" "Fair" "Slightly overweight" 180
"1009" "Good" "About the right weight" 240
"1010" "Good" "Slightly overweight" 210
"1011" "Fair" "Very overweight" 120
"1012" "Fair" "About the right weight" 240
"1013" "Fair" "Slightly overweight" 300
"1014" "Excellent" "About the right weight" 60
"1015" "Very Good" "Slightly underweight" 180
"1016" "Excellent" "Slightly overweight" 30
"1017" "Good" "Slightly overweight" 30
"1018" "Good" "Slightly overweight" 90
"1019" "Good" "About the right weight" 60
"1020" "Very Good" "About the right weight" 60
"1021" "Good" "About the right weight" 35
"1022" "Very Good" "Slightly overweight" 180
"1023" "Good" "About the right weight" 200
"1024" "Good" "Slightly underweight" 60
"1025" "Good" "Slightly underweight" 300
"1026" "Good" "About the right weight" 60
"1027" "Fair" "Very overweight" 70
"1028" "Excellent" "About the right weight" 198
"1029" "Good" "About the right weight" 210
"1030" "Fair" "Slightly overweight" 200
"1031" "Good" "Slightly overweight" 4000
"1032" "Good" "Slightly overweight" 600
"1033" "Good" "About the right weight" 2880
"1034" "Very Good" "About the right weight" 600
"1035" "Very Good" "Slightly overweight" 300
"1036" "Very Good" "Slightly overweight" 360
"1037" "Very Good" "Slightly overweight" 50
"1038" "Fair" "Very underweight" 840
"1039" "Very Good" "Slightly overweight" 420
"1040" "Very Good" "About the right weight" 60
"1041" "Very Good" "About the right weight" 150
"1042" "Very Good" "Slightly underweight" 120
"1043" "Excellent" "About the right weight" 300
"1044" "Very Good" "About the right weight" 200
"1045" "Very Good" "Slightly overweight" 480
"1046" "Good" "About the right weight" 120
"1047" "Fair" "Very overweight" 90
"1048" "Good" "About the right weight" 1260
"1049" "Fair" "About the right weight" 120
"1050" "Fair" "Slightly overweight" 420
"1051" "Good" "About the right weight" 60
"1052" "Good" "About the right weight" 20
"1053" NA "About the right weight" 360
"1054" "Very Good" "About the right weight" 120
"1055" "Good" "About the right weight" 200
"1056" "Good" "About the right weight" 120
"1057" "Very Good" "Slightly overweight" 180
"1058" "Fair" "Slightly overweight" 120
"1059" "Poor" "Very overweight" 1260
"1060" "Good" "About the right weight" 0
"1061" "Very Good" "About the right weight" 300
"1062" "Good" "About the right weight" 180
"1063" "Very Good" "About the right weight" 420
"1064" "Fair" "Slightly overweight" 480
"1065" "Good" "Very overweight" 350
"1066" "Good" "About the right weight" 180
"1067" "Very Good" "About the right weight" 120
"1068" "Excellent" "About the right weight" 210
"1069" "Very Good" "About the right weight" 30
"1070" "Fair" "About the right weight" 60
"1071" "Good" "About the right weight" 300
"1072" "Very Good" "About the right weight" 4320
"1073" "Good" "About the right weight" 120
"1074" "Very Good" "Slightly underweight" 250
"1075" "Good" "Very overweight" 90
"1076" "Good" "Slightly overweight" 180
"1077" "Very Good" "About the right weight" 45
"1078" "Very Good" "About the right weight" 240
"1079" "Very Good" "About the right weight" 840
"1080" "Very Good" "About the right weight" 220
"1081" "Good" "About the right weight" 300
"1082" "Very Good" "About the right weight" 60
"1083" "Fair" "Slightly overweight" 360
"1084" "Very Good" "About the right weight" 0
"1085" "Fair" "Slightly underweight" 210
"1086" "Very Good" "About the right weight" 60
"1087" "Good" "Very overweight" 60
"1088" "Very Good" "Slightly overweight" 120
"1089" "Good" "Slightly underweight" 240
"1090" "Good" "About the right weight" 360
"1091" "Fair" "About the right weight" 120
"1092" "Good" "About the right weight" 180
"1093" "Fair" "Slightly overweight" 30
"1094" "Very Good" "About the right weight" 240
"1095" "Very Good" "About the right weight" 100
"1096" "Good" "Slightly underweight" NA
"1097" "Very Good" "Slightly overweight" 210
"1098" "Excellent" "Slightly overweight" 240
"1099" "Good" "Slightly overweight" 120
"1100" "Fair" "Slightly overweight" 180
"1101" "Good" "Very overweight" 300
"1102" "Good" "About the right weight" 60
"1103" "Excellent" "About the right weight" 150
"1104" "Very Good" "About the right weight" 120
"1105" "Fair" "Slightly underweight" 10
"1106" "Very Good" "Slightly overweight" 180
"1107" "Very Good" "About the right weight" 60
"1108" "Excellent" "About the right weight" 60
"1109" "Very Good" "About the right weight" 120
"1110" "Very Good" "Slightly overweight" 60
"1111" "Fair" "Slightly overweight" 120
"1112" "Good" "About the right weight" 0
"1113" "Good" "About the right weight" 120
"1114" "Fair" "Slightly underweight" 60
"1115" "Good" "Very overweight" 60
"1116" "Fair" "Slightly underweight" 60
"1117" "Good" "About the right weight" 600
"1118" "Poor" "Slightly overweight" 60
"1119" "Excellent" "About the right weight" 420
"1120" "Good" "Very overweight" 200
"1121" "Good" "About the right weight" 0
"1122" NA "Very overweight" 100
"1123" "Fair" "Slightly overweight" 60
"1124" "Good" "Slightly overweight" 60
"1125" "Very Good" "About the right weight" 0
"1126" "Excellent" "About the right weight" 20
"1127" "Good" "About the right weight" 0
"1128" "Good" "About the right weight" 180
"1129" "Good" "Slightly overweight" 40
"1130" "Very Good" "About the right weight" 300
"1131" "Good" "Slightly overweight" 360
"1132" "Good" "About the right weight" 60
"1133" "Good" "Slightly overweight" 700
"1134" "Very Good" "Slightly overweight" 120
"1135" "Very Good" "Slightly overweight" 280
"1136" "Excellent" "About the right weight" 300
"1137" "Excellent" "About the right weight" 120
"1138" "Excellent" "About the right weight" 1800
"1139" "Very Good" "Slightly overweight" 40
"1140" "Very Good" "Slightly overweight" 2400
"1141" "Good" "Slightly overweight" 240
"1142" "Good" "About the right weight" 200
"1143" "Very Good" "About the right weight" 130
"1144" "Good" "About the right weight" 240
"1145" "Good" "About the right weight" 60
"1146" "Very Good" "About the right weight" 300
"1147" "Fair" "Very overweight" 90
"1148" "Good" "About the right weight" 180
"1149" "Good" "Slightly overweight" 180
"1150" "Very Good" "About the right weight" 360
"1151" "Excellent" "About the right weight" 60
"1152" "Good" "Slightly overweight" 170
"1153" "Good" "About the right weight" 60
"1154" "Good" "Slightly overweight" 300
"1155" "Fair" "Very overweight" 90
"1156" "Excellent" "About the right weight" 48
"1157" "Good" "Slightly overweight" 0
"1158" "Very Good" "Slightly overweight" 140
"1159" "Very Good" "About the right weight" 600
"1160" "Good" "Slightly underweight" 120
"1161" "Very Good" "About the right weight" 210
"1162" "Good" "Slightly overweight" 90
"1163" "Good" "About the right weight" 60
"1164" "Very Good" "Slightly overweight" 120
"1165" "Good" "Slightly underweight" 60
"1166" "Good" "Slightly underweight" 120
"1167" NA "Slightly underweight" 75
"1168" "Very Good" "Slightly overweight" 120
"1169" "Good" "About the right weight" 240
"1170" "Very Good" "About the right weight" 180
"1171" "Very Good" "Slightly overweight" 240
"1172" "Good" "About the right weight" 180
"1173" "Fair" "About the right weight" NA
"1174" "Good" "Very overweight" 60
"1175" "Fair" "Slightly overweight" 1000
"1176" "Very Good" "About the right weight" 180
"1177" "Very Good" "About the right weight" 100
"1178" "Very Good" "Slightly underweight" NA
"1179" "Very Good" "Slightly underweight" 3
"1180" "Very Good" "About the right weight" 120
"1181" "Good" "Slightly overweight" 270
"1182" "Good" "Slightly underweight" 30
"1183" "Good" "Slightly overweight" 20
"1184" "Excellent" "About the right weight" 480
"1185" "Excellent" "About the right weight" 300
"1186" "Good" "About the right weight" NA
"1187" "Very Good" "About the right weight" 120
"1188" "Good" "Slightly overweight" 60
"1189" "Very Good" "About the right weight" 300
"1190" "Poor" "Very overweight" 300
"1191" "Excellent" "About the right weight" 300
"1192" "Very Good" "About the right weight" 360
"1193" "Very Good" "About the right weight" 300
"1194" "Good" "About the right weight" 60
"1195" "Very Good" "Slightly overweight" 60
"1196" "Very Good" "About the right weight" 80
"1197" "Good" "Slightly overweight" 500
"1198" "Excellent" "About the right weight" 300
"1199" NA "Slightly overweight" 65
"1200" "Good" "About the right weight" 90
"1201" "Good" "Slightly overweight" 300
"1202" "Excellent" "Slightly overweight" 300
"1203" "Fair" "About the right weight" 210
"1204" "Good" "Very overweight" 150
"1205" "Good" "Slightly underweight" 10
"1206" "Very Good" "About the right weight" 30
"1207" "Good" "Slightly overweight" 100
"1208" "Very Good" "About the right weight" 60
"1209" "Fair" "Very overweight" 210
"1210" "Poor" "Very overweight" 123
"1211" "Excellent" "About the right weight" 60
"1212" "Excellent" "Slightly overweight" 120
"1213" "Excellent" "About the right weight" 500
"1214" "Very Good" "Slightly underweight" 120
"1215" "Very Good" "Slightly overweight" 240
"1216" "Excellent" "About the right weight" 120
"1217" "Poor" "Very underweight" 120
"1218" "Good" "Slightly overweight" 240
"1219" "Fair" "About the right weight" 120
"1220" "Good" "Slightly overweight" 3500
"1221" "Good" "Slightly overweight" 140
"1222" "Fair" "Slightly overweight" 0
"1223" "Good" "About the right weight" 600
"1224" "Excellent" "About the right weight" 630
"1225" "Very Good" "Slightly overweight" 120
"1226" "Fair" "About the right weight" 1600
"1227" "Good" "About the right weight" 84
"1228" "Very Good" "About the right weight" 100
"1229" "Good" "Slightly overweight" 180
"1230" "Good" "Very overweight" 90
"1231" "Good" "Slightly overweight" 60
"1232" "Good" "Slightly overweight" 480
"1233" "Very Good" "Slightly overweight" 120
"1234" "Very Good" "About the right weight" 90
"1235" "Good" "Slightly overweight" 25
"1236" "Good" "Slightly underweight" 20
"1237" "Fair" "About the right weight" 0
"1238" "Very Good" "Slightly overweight" 60
"1239" "Fair" "Slightly overweight" 164
"1240" "Good" "About the right weight" 180
"1241" "Good" "Slightly overweight" 120
"1242" "Good" "About the right weight" 210
"1243" "Fair" "Slightly overweight" 45
"1244" "Good" "Slightly underweight" 120
"1245" "Very Good" "About the right weight" 240
"1246" "Good" "Slightly overweight" 360
"1247" "Very Good" "Slightly overweight" 480
"1248" "Good" "Very overweight" 5
"1249" "Good" "About the right weight" 450
"1250" "Good" "About the right weight" 420
"1251" "Good" "Slightly overweight" 60
"1252" "Fair" "About the right weight" 90
"1253" "Very Good" "About the right weight" 1000
"1254" "Good" "Slightly underweight" 0
"1255" "Good" "Slightly overweight" 180
"1256" "Good" "About the right weight" 600
"1257" "Fair" "Very overweight" 155
"1258" "Good" "Slightly overweight" 900
"1259" "Good" "Slightly overweight" 60
"1260" "Good" "About the right weight" 120
"1261" "Good" "Slightly overweight" 60
"1262" "Good" "Slightly overweight" 80
"1263" "Good" "Slightly overweight" 240
"1264" "Very Good" "About the right weight" 120
"1265" "Good" "About the right weight" 160
"1266" "Excellent" "About the right weight" 600
"1267" "Good" "Slightly underweight" 10
"1268" "Excellent" "About the right weight" 60
"1269" "Fair" "Slightly overweight" 210
"1270" "Good" "About the right weight" 60
"1271" "Good" "Slightly overweight" 240
"1272" "Fair" "Slightly overweight" 1000
"1273" "Fair" "Slightly overweight" 60
"1274" "Good" "Slightly overweight" 30
"1275" "Fair" "About the right weight" 120
"1276" "Very Good" "About the right weight" 90
"1277" "Good" "About the right weight" 120
"1278" "Very Good" "Slightly overweight" 60
"1279" "Good" "Slightly overweight" 120
"1280" "Good" "Slightly overweight" 35
"1281" "Good" "About the right weight" 200
"1282" "Very Good" "Slightly overweight" 180
"1283" "Very Good" "Slightly overweight" 60
"1284" "Very Good" "About the right weight" 900
"1285" "Very Good" "About the right weight" 0
"1286" "Good" "Slightly underweight" 30
"1287" "Fair" "Very overweight" 20
"1288" "Fair" "Slightly overweight" 20
"1289" "Excellent" "About the right weight" 120
"1290" "Good" "About the right weight" 420
"1291" "Fair" "About the right weight" 180
"1292" "Good" "About the right weight" 300
"1293" "Very Good" "Slightly overweight" 200
"1294" "Poor" "Slightly overweight" 400
"1295" "Fair" "Slightly overweight" 2800
"1296" "Good" "About the right weight" 180
"1297" "Very Good" "About the right weight" 60
"1298" "Fair" "About the right weight" 45
"1299" "Good" "Slightly underweight" 120
"1300" "Very Good" "About the right weight" 90
"1301" "Very Good" "About the right weight" 60
"1302" "Good" "Slightly overweight" NA
"1303" "Good" "About the right weight" 30
"1304" "Very Good" "Slightly overweight" 45
"1305" "Very Good" "About the right weight" 60
"1306" "Good" "About the right weight" 240
"1307" "Good" "About the right weight" 360
"1308" "Good" "Very overweight" 180
"1309" "Very Good" "About the right weight" 480
"1310" "Good" "Slightly overweight" 130
"1311" "Very Good" "Very overweight" 60
"1312" "Good" "Very overweight" 1000
"1313" "Very Good" "Slightly overweight" 120
"1314" "Fair" "Very overweight" 180
"1315" "Very Good" "Slightly underweight" 120
"1316" "Good" "About the right weight" 90
"1317" "Fair" "Very overweight" 0
"1318" NA "Slightly overweight" 180
"1319" "Good" "About the right weight" 300
"1320" "Good" "Slightly overweight" 40
"1321" "Good" "About the right weight" 600
"1322" "Very Good" "About the right weight" 400
"1323" "Good" "About the right weight" 360
"1324" "Very Good" "Slightly overweight" 300
"1325" "Good" "Very overweight" 30
"1326" "Good" "About the right weight" 300
"1327" "Very Good" "Slightly underweight" 210
"1328" "Very Good" "Slightly overweight" 120
"1329" "Excellent" "About the right weight" 420
"1330" "Good" "Slightly overweight" 180
"1331" "Fair" "About the right weight" 130
"1332" "Good" "Slightly overweight" 20
"1333" "Good" "Slightly overweight" 150
"1334" "Excellent" "About the right weight" 60
"1335" "Very Good" "About the right weight" 300
"1336" "Excellent" "About the right weight" 500
"1337" "Excellent" "About the right weight" 128
"1338" "Good" "About the right weight" 60
"1339" "Excellent" "About the right weight" 300
"1340" "Good" "About the right weight" 100
"1341" "Good" "Slightly underweight" 210
"1342" "Good" "Slightly underweight" 150
"1343" "Very Good" "About the right weight" 60
"1344" "Good" "Slightly underweight" 250
"1345" "Fair" "About the right weight" 120
"1346" "Fair" "Slightly overweight" 45
"1347" "Very Good" "About the right weight" 600
"1348" "Fair" "About the right weight" 420
"1349" "Excellent" "About the right weight" 90
"1350" "Very Good" "About the right weight" 500
"1351" "Very Good" "Slightly underweight" 180
"1352" "Good" "About the right weight" 30
"1353" "Good" "Slightly overweight" 225
"1354" "Very Good" "About the right weight" 120
"1355" "Very Good" "About the right weight" 40
"1356" "Good" "Very overweight" 60
"1357" "Very Good" "About the right weight" 350
"1358" "Very Good" "Very underweight" 60
"1359" "Very Good" "Slightly overweight" 120
"1360" "Good" "Very overweight" 150
"1361" "Fair" "Slightly overweight" 0
"1362" "Good" "Slightly overweight" 250
"1363" "Very Good" "About the right weight" 540
"1364" "Very Good" "Slightly overweight" 60
"1365" "Fair" "Very overweight" 15
"1366" "Very Good" "About the right weight" 210
"1367" "Very Good" "About the right weight" 180
"1368" "Excellent" "About the right weight" 960
"1369" "Very Good" "About the right weight" 600
"1370" "Very Good" "About the right weight" 200
"1371" "Good" "Slightly overweight" 30
"1372" "Fair" "Slightly overweight" 240
"1373" "Very Good" "Very overweight" 60
"1374" "Very Good" "Very overweight" 200
"1375" "Poor" "Slightly overweight" 120
"1376" "Excellent" "About the right weight" 180
"1377" "Fair" "About the right weight" 90
"1378" "Very Good" "Slightly overweight" 140
"1379" "Very Good" "Slightly underweight" 120
"1380" "Excellent" "Slightly overweight" 120
"1381" "Good" "About the right weight" 45
"1382" "Good" "About the right weight" 120
"1383" "Good" "About the right weight" 150
"1384" "Very Good" "About the right weight" 600
"1385" "Good" "Very overweight" 20
"1386" "Very Good" "Slightly overweight" 120
"1387" "Fair" "Slightly overweight" 45
"1388" "Good" "Slightly underweight" 60
"1389" NA "Slightly overweight" 150
"1390" "Very Good" "About the right weight" 240
"1391" "Good" "Slightly overweight" 360
"1392" "Very Good" "About the right weight" 120
"1393" "Very Good" "About the right weight" 420
"1394" "Very Good" "About the right weight" 500
"1395" "Excellent" "Very overweight" 60
"1396" "Excellent" "Slightly overweight" 120
"1397" "Good" "Slightly overweight" 500
"1398" "Very Good" "About the right weight" 360
"1399" "Very Good" "About the right weight" 420
"1400" "Good" "About the right weight" 500
"1401" "Very Good" "About the right weight" 250
"1402" "Fair" "About the right weight" 420
"1403" "Very Good" "Slightly overweight" 80
"1404" "Very Good" "About the right weight" 500
"1405" "Very Good" "About the right weight" 200
"1406" "Excellent" "About the right weight" 350
"1407" "Poor" "Very overweight" 0
"1408" "Very Good" "Slightly overweight" 60
"1409" "Very Good" "Very overweight" 60
"1410" "Good" "Slightly overweight" 120
"1411" "Very Good" "Slightly overweight" 0
"1412" "Good" "About the right weight" 700
"1413" "Excellent" "Slightly underweight" 60
"1414" "Good" "About the right weight" 20
"1415" "Good" "About the right weight" 30
"1416" "Very Good" "About the right weight" 300
"1417" NA "About the right weight" 5
"1418" "Good" "Very overweight" 715
"1419" "Good" "About the right weight" 300
"1420" "Excellent" "Slightly overweight" 240
"1421" "Good" "Slightly overweight" 600
"1422" "Fair" "Very overweight" 140
"1423" "Very Good" "Slightly overweight" 0
"1424" "Good" "Slightly overweight" 120
"1425" "Good" "About the right weight" 120
"1426" "Excellent" "About the right weight" 30
"1427" "Good" "Slightly overweight" 200
"1428" "Very Good" "Slightly underweight" 120
"1429" "Excellent" "Very overweight" 300
"1430" "Very Good" "Slightly overweight" 30
"1431" "Very Good" "About the right weight" 60
"1432" "Good" "About the right weight" 240
"1433" "Fair" "Very overweight" 360
"1434" "Good" "Slightly overweight" 360
"1435" "Very Good" "Slightly overweight" 240
"1436" "Good" "Slightly overweight" 240
"1437" "Fair" "About the right weight" 60
"1438" "Very Good" "Slightly overweight" 150
"1439" "Very Good" "About the right weight" 5
"1440" NA "Slightly underweight" 150
"1441" "Very Good" "About the right weight" 180
"1442" "Very Good" "Slightly overweight" 150
"1443" "Excellent" "About the right weight" 380
"1444" "Good" "Slightly overweight" 60
"1445" "Good" "About the right weight" 60
"1446" "Good" "About the right weight" 30
"1447" "Very Good" "Slightly overweight" 300
